PUBLICATION_DATE,UID,SITE_ID,DATE_COL,PSTL_CODE,VISIT_NO,YEAR,STUDY,INDEX_HEC,INDEX_LE,INDEX_SMR,INDEX_NIAG,NCCA_REG,SAMPLE_TYPE,STATION_DEPTH,TRANS,CAST,COL_LOC,DEPTH,CONDUCTIVITY,DO,PH,SALINITY,LIGHT_AMB,LIGHT_UW,TEMPERATURE,NARS_COMMENT,NARS_FLAG
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,DOWNCAST,Surface,0.1,215,9.22,8.15,,969,1512,16.75,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,UPCAST,Surface,0.1,215.1,9.22,8.14,,982,1542,16.78,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,UPCAST,Mid-water,0.5,215.1,9.21,8.13,,982,1192,16.78,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,DOWNCAST,Mid-water,0.5,214.9,9.21,8.12,,976,1210,16.77,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,DOWNCAST,Mid-water,1,215,9.22,8.13,,973,772,16.77,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,UPCAST,Mid-water,1,215,9.23,8.14,,980,638,16.78,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,UPCAST,Bottom,1.1,215,9.22,8.13,,975,500,16.78,,
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.6,0.353,DOWNCAST,Bottom,1.1,214.7,9.21,8.13,,973,522,16.78,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Surface,0.1,219,9.26,8.18,,1544,1963,17.14,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Surface,0.1,219.2,9.26,8.15,,1567,2091,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Mid-water,0.5,219,9.28,8.16,,1546,1586,17.14,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Mid-water,0.5,218.9,9.23,8.14,,1567,1533,17.15,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Mid-water,1,219,9.25,8.17,,1544,1130,17.14,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Mid-water,1,219,9.26,8.15,,1564,1078,17.14,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Mid-water,2,218.7,9.24,8.16,,1565,416,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Mid-water,2,218.6,9.25,8.17,,1544,402,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Mid-water,3,218.6,9.27,8.18,,1547,177,17.14,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Mid-water,3,219.2,9.23,8.18,,1569,176,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Mid-water,4,219,9.26,8.18,,1571,65,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Mid-water,4,218.9,9.26,8.16,,1549,71,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Mid-water,5,219.2,9.25,8.18,,1569,29,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Mid-water,5,218.9,9.28,8.16,,1551,32,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,DOWNCAST,Bottom,5.2,219,9.3,8.13,,1551,24,17.13,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,5.7,0.415,UPCAST,Bottom,5.2,219.2,9.28,8.16,,1570,25,17.12,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,DOWNCAST,Surface,0.1,220.5,10.23,8.38,,1217,1579,17.12,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,UPCAST,Surface,0.1,219.6,10.31,8.38,,1255,1514,17.14,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,UPCAST,Mid-water,0.5,220.3,10.31,8.38,,1252,1314,17.13,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,DOWNCAST,Mid-water,0.5,219.7,10.24,8.38,,1223,1303,17.13,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,UPCAST,Mid-water,1,220,10.29,8.4,,1230,1093,17.13,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,DOWNCAST,Mid-water,1,220,10.26,8.37,,1221,1149,17.11,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,DOWNCAST,Bottom,1.5,220,10.26,8.38,,1248,906,17.12,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2,0.69,UPCAST,Bottom,1.5,220,10.27,8.38,,1245,925,17.12,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,1.4,,UPCAST,Surface,0.1,214.7,9.69,8.27,,1472,,17.35,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,1.4,,DOWNCAST,Surface,0.1,214.9,9.66,8.26,,1461,,17.34,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,1.4,,UPCAST,Mid-water,0.5,214.7,9.71,8.26,,1472,,17.34,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,1.4,,DOWNCAST,Mid-water,0.5,214.7,9.66,8.24,,1466,,17.34,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,1.4,,DOWNCAST,Bottom,0.9,215,9.7,8.26,,1465,,17.34,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,1.4,,UPCAST,Bottom,0.9,214.8,9.71,8.25,,1470,,17.34,,
1/6/2022,155234,LHLEC-004,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,0.9,0.477,DOWNCAST,Surface,0.1,339,10.29,8.92,,500.85,520.79,16.63,,
1/6/2022,155234,LHLEC-004,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,0.9,0.477,UPCAST,Surface,0.1,340,10.4,8.94,,551.57,560.23,16.63,,
1/6/2022,155234,LHLEC-004,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,0.9,0.477,DOWNCAST,Mid-water,0.4,345.3,10.37,8.81,,523.04,422.48,16.62,,
1/6/2022,155234,LHLEC-004,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,0.9,0.477,UPCAST,Mid-water,0.4,344.9,10.41,8.78,,526.94,441.62,16.63,,
1/6/2022,155235,LHLEC-004,22-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,0.9,0.503,UPCAST,Surface,0.1,343.2,11.52,8.8,,1587,1782,16.75,,
1/6/2022,155235,LHLEC-004,22-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,0.9,0.503,DOWNCAST,Surface,0.1,342,11.29,8.75,,1536,1741,16.77,,
1/6/2022,155235,LHLEC-004,22-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,0.9,0.503,DOWNCAST,Mid-water,0.4,342.1,11.39,8.65,,1555,1415,16.77,,
1/6/2022,155235,LHLEC-004,22-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,HYDRO,0.9,0.503,UPCAST,Mid-water,0.4,341.4,11.55,8.64,,1562,1446,16.78,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,UPCAST,Surface,0.1,260.2,9.54,8.03,,1762,1951,17.97,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,DOWNCAST,Surface,0.1,260.5,9.51,8.2,,1679,1965,17.95,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,DOWNCAST,Mid-water,0.5,260.3,9.5,8.17,,1683,1579,17.94,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,UPCAST,Mid-water,0.5,260.5,9.53,7.95,,1748,1775,17.99,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,UPCAST,Mid-water,1,260,9.54,8.08,,1648,1336,17.96,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,DOWNCAST,Mid-water,1,260.3,9.53,8.15,,1689,1366,17.95,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,DOWNCAST,Mid-water,2,260.5,9.57,7.98,,1707,904,17.93,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,UPCAST,Mid-water,2,260.1,9.53,8.1,,1615,849,17.96,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,UPCAST,Mid-water,3,260.3,9.58,8.08,,1560,497,17.95,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,DOWNCAST,Mid-water,3,260.5,9.54,7.97,,1699,559,17.94,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,DOWNCAST,Bottom,3.6,260.3,9.58,8.1,,1690,487,17.94,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.1,0.661,UPCAST,Bottom,3.6,260.1,9.59,8.1,,1626,450,17.94,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,DOWNCAST,Surface,0.1,264.5,9.64,7.97,,1049,1783,18.14,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,UPCAST,Surface,0.1,264.4,9.68,8.17,,992,1918,18.16,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,DOWNCAST,Mid-water,0.5,264.5,9.65,8.02,,1022,1549,18.15,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,UPCAST,Mid-water,0.5,264.5,9.66,8.13,,1031,1580,18.15,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,DOWNCAST,Mid-water,1,264.9,9.6,8.06,,1009,1231,18.14,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,UPCAST,Mid-water,1,264.5,9.88,8.17,,1036,1140,18.16,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,DOWNCAST,Mid-water,2,265,9.64,8.06,,1003,793,18.14,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,UPCAST,Mid-water,2,264.5,9.72,8.13,,1041,760,18.15,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,UPCAST,Bottom,2.9,264.5,9.7,8.1,,1012,539,18.15,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,3.4,0.644,DOWNCAST,Bottom,2.9,264.5,9.69,8.06,,1005,533,18.15,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Surface,0.1,226.8,10.26,8.44,,984,1210,17.75,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Surface,0.1,226.8,10.26,8.35,,1031,1293,17.72,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Mid-water,0.5,226.5,10.25,8.44,,986,1060,17.75,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Mid-water,0.5,226.3,10.24,8.26,,1039,1196,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Mid-water,1,226.4,10.29,8.36,,1013,1011,17.75,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Mid-water,1,226.4,10.27,8.44,,975,869,17.75,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Mid-water,2,226.4,10.28,8.45,,963,683,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Mid-water,2,226,10.26,8.38,,999,640,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Mid-water,3,226.5,10.29,8.37,,1000,405,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Mid-water,3,226.7,10.28,8.45,,959,399,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Mid-water,4,226.7,10.29,8.45,,969,262,17.75,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Mid-water,4,226.6,10.29,8.39,,990,256,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,UPCAST,Bottom,4.3,226.4,10.31,8.43,,980,235,17.74,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,4.8,0.667,DOWNCAST,Bottom,4.3,226.6,10.3,8.47,,985,231,17.74,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,UPCAST,Surface,0.1,216.6,8.3,7.97,,448,633,16.47,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,DOWNCAST,Surface,0.1,216.5,8.36,7.77,,446,666,16.47,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,UPCAST,Mid-water,0.5,217.1,8.28,7.97,,447,530,16.47,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,DOWNCAST,Mid-water,0.5,217.2,8.28,7.75,,449,520,16.49,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,DOWNCAST,Mid-water,1,216.5,8.28,7.98,,450,387,16.49,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,UPCAST,Mid-water,1,216.8,8.29,7.93,,442,393,16.48,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,UPCAST,Mid-water,2,216.5,8.29,7.95,,443,51,16.49,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,DOWNCAST,Mid-water,2,216.9,8.3,8.02,,454,91,16.5,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,DOWNCAST,Bottom,2.2,216.9,8.29,7.99,,444,30,16.5,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,2.7,0.234,UPCAST,Bottom,2.2,216.4,8.3,7.96,,442,28,16.5,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.4,,UPCAST,Surface,0.1,214.7,9.68,8.26,,1517,,17.34,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.4,,DOWNCAST,Surface,0.1,214,9.66,8.26,,1548,,17.33,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.4,,UPCAST,Mid-water,0.5,214.8,9.7,8.26,,1505,,17.34,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.4,,DOWNCAST,Mid-water,0.5,214.8,9.65,8.25,,1517,,17.33,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.4,,UPCAST,Bottom,0.9,214.6,9.7,8.26,,1497,,17.34,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,1.4,,DOWNCAST,Bottom,0.9,214.9,9.67,8.25,,1492,,17.33,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,DOWNCAST,Surface,0.1,229,9.84,8.15,,1245,2131,17.7,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,UPCAST,Surface,0.1,226.7,9.76,8.14,,1050,1557,17.63,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,UPCAST,Mid-water,0.5,226.1,9.74,8.14,,1087,1356,17.62,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,DOWNCAST,Mid-water,0.5,227.8,9.8,8.15,,1143,1405,17.7,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,UPCAST,Mid-water,1,226.3,9.76,8.15,,1111,831,17.6,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,DOWNCAST,Mid-water,1,226.5,9.83,8.14,,1109,903,17.64,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,DOWNCAST,Mid-water,2,226.9,9.75,8.15,,1101,550,17.59,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,HYDRO,6.8,0.599,UPCAST,Mid-water,2,226.6,9.72,8.14,,1138,521,17.6,,
