PUBLICATION_DATE,UID,SITE_ID,DATE_COL,PSTL_CODE,VISIT_NO,YEAR,STUDY,INDEX_HEC,INDEX_LE,INDEX_SMR,INDEX_NIAG,NCCA_REG,SAMPLE_TYPE,STATION_DEPTH,MEAN_SECCHI_DEPTH,REP,CLEAR_TO_BOTTOM,DISAPPEARS,REAPPEARS,SECCHI_TIME,NARS_FLAG,NCCA_COMMENT,SECCHI_COMMENT
1/6/2022,155230,LHLEC-012,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.6,1.252,0,Y,,,9:42,,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,1.1,0,N,,,13:34,,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,,1,,1.1,1,,,,"PAR sensor was at angle underwater because of current, depth suspect"
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,,2,,1.1,1,,,,
1/6/2022,155231,LHLEC-015,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,,3,,1.1,1,,,,
1/6/2022,155232,LHLEC-011,23-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2,3.438,0,Y,,,10:54,,,
1/6/2022,155233,LHLEC-003,23-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,1.4,,0,Y,,,15:58,,,
1/6/2022,155234,LHLEC-004,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,0.9,1.746,0,Y,,,10:20,,,
1/6/2022,155235,LHLEC-004,22-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,0.9,1.879,0,Y,,,11:20,,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,2.533,0,N,,,,,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,,1,,2.2,1.9,,,,Clouds
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,,2,,2.6,2.5,,,,
1/6/2022,155236,LHLEC-008,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,,3,,2.8,2.7,,,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.4,3.1,0,N,,,15:03,,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.4,,1,,3.1,2.9,,,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.4,,2,,3,2.9,,,,
1/6/2022,155237,LHLEC-020,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.4,,3,,3.2,3,,,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.8,3.633,0,N,,,16:45,,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.8,,1,,3.7,3.4,,,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.8,,2,,3.6,3.4,,,,
1/6/2022,155238,LHLEC-024,22-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.8,,3,,3.6,3.5,,,,
1/6/2022,155239,LHLEC-016,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.7,0.905,0,Y,,,8:50,,,
1/6/2022,155240,LHLEC-003,23-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.4,,0,Y,,,14:42,,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.8,3,0,N,,,15:54,,,
