PUBLICATION_DATE,UID,SITE_ID,DATE_COL,YEAR,VISIT_NO,STUDY,PSTL_CODE,INDEX_NCCA15,NCCA_REG,LAB,BATCH_ID,ANALYTE,DATE_ANALYZED,DATE_RECEIVED,LAB_SAMPLE_ID,LRL,MDL,METHOD,NARS_FLAG,NARS_COMMENT,RESULT,RESULT_UNITS,SAMPLE_ID
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,PH,6/4/2015,6/4/2015,1520004,,,,,,8.17,STD. UNITS,776160
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.259,MG/L,
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/4/2015,1520004,,0.002,,,,0.436,MG/L,776160
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/4/2015,1520004,,0.003,,,,0.004,MG N/L,776162
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/4/2015,1520004,,0.002,,,,12.118,MG/L,776162
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/4/2015,1520004,,,,,,0.253,MG N/L,776162
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/4/2015,1520004,,9.00E-04,,,,4.80E-03,MG/L,776160
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,COND,6/4/2015,6/4/2015,1520004,,,,,,284,US/CM AT 25 C,776160
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/4/2015,1520004,,0.003,,,,21.481,MG/L,776162
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/4/2015,1520004,,,,,,0.002,MG N/L,776162
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/4/2015,1520004,,0.0012,,,,0.005145,MG P/L,776162
4/29/2021,167240,GLBA15-3230,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150611.1,CHLA,6/11/2015,6/4/2015,1520004,,0.09,,,,0.32,UG/L,776161
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRATE_N,6/17/2015,6/4/2015,1520003,,,,,,0.246,MG N/L,776122
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,CHLORIDE,6/17/2015,6/4/2015,1520003,,0.002,,,,12.106,MG/L,776122
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,NTL,6/22/2015,6/4/2015,1520003,,0.002,,,,0.433,MG/L,776120
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,COND,6/4/2015,6/4/2015,1520003,,,,,,284,US/CM AT 25 C,776120
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150604.1,PH,6/4/2015,6/4/2015,1520003,,,,,,8.18,STD. UNITS,776120
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150611.1,CHLA,6/11/2015,6/4/2015,1520003,,0.09,,,,0.3,UG/L,776121
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,AMMONIA_N,6/17/2015,6/4/2015,1520003,,0.003,,,,0.004,MG N/L,776122
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150622.1,PTL,6/22/2015,6/4/2015,1520003,,9.00E-04,,,,5.20E-03,MG/L,776120
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/4/2015,1520003,,0.003,,,,21.526,MG/L,776122
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SRP,6/17/2015,6/4/2015,1520003,,0.0012,,,,0.005109,MG P/L,776122
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/4/2015,1520003,,,,,,0.002,MG N/L,776122
4/29/2021,167242,GLBA15-3237,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.252,MG/L,
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,NITRITE_N,6/17/2015,6/4/2015,1520002,,,,,,0.002,MG N/L,776142
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150611.1,CHLA,6/11/2015,6/4/2015,1520002,,0.09,,,,0.34,UG/L,776141
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,WRS,150617.1,SULFATE,6/17/2015,6/4/2015,1520002,,0.003,,,,21.347,MG/L,776142
4/29/2021,167245,GLBA15-1028,2-Jun-15,2015,1,NearShorePlusBays,MI,Y,Great Lakes,CALCULATED,CALCULATED,DIN,,,,,,,,,0.253,MG/L,
